# 미션이름 1: 토벌(하) 2: 토별(상) 3: 파괴 4: 탐험																			
# 생성 번호당 가능 지역																			
# 1 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 																			
# 2 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전																			
# 3 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리																			
# 4 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원																			
# 5 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 6 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 7 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 최대 생성번호 갯수 : 7																			
# 최대 생성번호 갯수, 가능 지역 수정사항 생길시 프로그래머에게 이야기해주세요																			
#생성번호	지역	미션이름	용병레벨	필요활동력	필요활동력추가참여용병배율	성공확률	성공확률추가참여용병배율	PC정복자경험치보상	yang보상	보상아이템VNUM1	보상아이템COUNT1	보상아이템VNUM2	보상아이템COUNT2	보상아이템VNUM3	보상아이템COUNT3	보상아이템VNUM4	보상아이템COUNT4	보상아이템VNUM5	보상아이템COUNT5
1	1	1	1	100	3	46	1	900	70000	83100	1	83115	1	39067	1	0	0	0	0
1	1	2	1	100	3	46	1	900	40000	83100	1	83118	1	83036	1	0	0	0	0
1	1	3	1	100	3	46	1	900	75000	83100	1	83124	1	50529	1	0	0	0	0
1	1	4	1	100	3	46	1	900	45000	83100	1	83121	1	83065	1	83066	1	0	0
1	2	1	1	100	3	46	1	960	71400	83101	1	83115	1	39067	1	0	0	0	0
1	2	2	1	100	3	46	1	960	40800	83101	1	83118	1	83036	1	0	0	0	0
1	2	3	1	100	3	46	1	960	76500	83101	1	83124	1	50529	1	0	0	0	0
1	2	4	1	100	3	46	1	960	45900	83101	1	83121	1	83065	1	83066	1	0	0
1	3	1	1	100	3	46	1	1030	72828	83102	1	83115	1	39067	1	0	0	0	0
1	3	2	1	100	3	46	1	1030	41616	83102	1	83118	1	83036	1	0	0	0	0
1	3	3	1	100	3	46	1	1030	78030	83102	1	83124	1	50529	1	0	0	0	0
1	3	4	1	100	3	46	1	1030	46818	83102	1	83121	1	83065	1	83066	1	0	0
1	4	1	1	100	3	46	1	1100	74285	83103	1	83115	1	39067	1	0	0	0	0
1	4	2	1	100	3	46	1	1100	42448	83103	1	83118	1	83036	1	0	0	0	0
1	4	3	1	100	3	46	1	1100	79591	83103	1	83124	1	50529	1	0	0	0	0
1	4	4	1	100	3	46	1	1100	47754	83103	1	83121	1	83065	1	83066	1	0	0
1	5	1	1	100	3	46	1	1180	75770	83104	1	83115	1	39067	1	0	0	0	0
1	5	2	1	100	3	46	1	1180	43297	83104	1	83118	1	83036	1	0	0	0	0
1	5	3	1	100	3	46	1	1180	81182	83104	1	83124	1	50529	1	0	0	0	0
1	5	4	1	100	3	46	1	1180	48709	83104	1	83121	1	83065	1	83066	1	0	0
1	6	1	1	100	3	46	1	1260	77286	83105	1	83115	1	39067	1	0	0	0	0
1	6	2	1	100	3	46	1	1260	44163	83105	1	83118	1	83036	1	0	0	0	0
1	6	3	1	100	3	46	1	1260	82806	83105	1	83124	1	50529	1	0	0	0	0
1	6	4	1	100	3	46	1	1260	49684	83105	1	83121	1	83065	1	83066	1	0	0
1	7	1	1	100	3	46	1	1350	78831	83106	1	83115	1	39067	1	0	0	0	0
