group floor_reward											
{											
	#floor	vnum1	count1	vnum2	count2	vnum3	count3	vnum4	count4	vnum5	count5
	1	70401	1	0	0	0	0	0	0	0	0
	2	72351	1	31246	1	0	0	0	0	0	0
	3	72349	1	31246	2	0	0	0	0	0	0
	4	72354	1	31246	4	31249	1	0	0	0	0
	5	50527	1	50528	3	50529	3	0	0	0	0
	6	72353	1	31245	2	31246	2	31247	2	0	0
	7	31250	1	31246	3	31249	3	31248	3	0	0
	8	72349	1	31246	4	31249	4	31248	4	0	0
	9	72353	2	50325	1	31246	5	31247	5	0	0
	10	50527	1	50528	4	50529	4	0	0	0	0
	11	50325	1	70401	3	0	0	0	0	0	0
	12	72351	1	31246	10	31249	10	31248	10	31247	10
	13	72349	1	31246	10	31250	10	31248	10	31247	10
	14	72354	1	31246	10	31249	10	31248	10	31247	10
	15	50527	1	50528	3	50529	3	0	0	0	0
	16	72353	3	50325	1	100300	1	100700	1	50255	1
	17	72351	2	31246	10	31249	10	31248	10	31247	10
	18	72349	2	31246	10	31250	10	31248	10	31247	10
	19	72354	2	31246	10	31249	10	31248	10	31247	10
	20	50527	1	50528	5	50529	5	0	0	0	0
	21	50325	1	70401	5	0	0	0	0	0	0
	22	72346	1	31251	2	31252	2	0	0	0	0
	23	72349	1	31251	2	31252	2	0	0	0	0
	24	72354	1	31251	3	31252	3	0	0	0	0
	25	50527	1	50528	5	50529	5	0	0	0	0
	26	72353	3	50325	1	100300	1	100700	1	50255	2
	27	72351	3	31246	10	31249	10	31248	10	31247	10
	28	72349	3	31246	10	31250	10	31248	10	31247	10
	29	72354	3	31246	10	31249	10	31248	10	31247	10
	30	50527	1	50528	6	50529	6	0	0	0	0
	31	50325	1	70401	10	0	0	0	0	0	0
	32	72346	1	31251	3	31252	3	0	0	0	0
	33	72349	1	31251	3	31252	3	0	0	0	0
	34	72354	1	31251	3	31252	3	0	0	0	0
	35	50527	1	50528	8	50529	8	0	0	0	0
	36	72353	3	50325	1	100300	2	100700	1	50255	3
	37	72351	4	31246	10	31249	10	31248	10	31247	10
	38	72349	4	31246	10	31250	10	31248	10	31247	10
	39	72354	4	31246	10	31249	10	31248	10	31247	10
	40	50527	1	50528	9	50529	9	0	0	0	0
	41	50325	1	70401	15	0	0	0	0	0	0
	42	72346	4	31251	5	31252	5	0	0	0	0
	43	72349	4	31251	5	31252	5	0	0	0	0
	44	72354	4	31251	5	31252	5	0	0	0	0
	45	50527	2	50528	10	50529	10	30618	1	0	0
	46	72353	3	50325	1	100300	3	100700	1	50255	5
	47	72351	5	31246	10	31249	10	31248	10	31247	10
	48	72349	5	31246	10	31250	10	31248	10	31247	10
	49	72354	5	31246	10	31249	10	31248	10	31247	10
	50	50527	3	50528	10	50529	10	31225	1	70402	1
}
