VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14013	FACILITY	jedan	Fábrica de armas	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1	0
14014	FACILITY	jedan	Fábrica de armaduras	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1	0
14015	FACILITY	jedan	Joyero	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1	0
14033	FACILITY	suryeonjang	Centro de entrenam.	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2	0
14043	FACILITY	yonggwangro	Horno de diamante	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1	0
14045	FACILITY	yonggwangro	Horno de mad. fósil	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1	0
14046	FACILITY	yonggwangro	Horno de cobre	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1	0
14047	FACILITY	yonggwangro	Horno de plata	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1	0
14048	FACILITY	yonggwangro	Horno de oro	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1	0
14049	FACILITY	yonggwangro	Horno de jade	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1	0
14050	FACILITY	yonggwangro	Horno de ébano	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1	0
14051	FACILITY	yonggwangro	Horno de perlas	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1	0
14052	FACILITY	yonggwangro	Horno de oro blanco	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1	0
14053	FACILITY	yonggwangro	Horno de cristal	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1	0
14054	FACILITY	yonggwangro	Horno de cuarzo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1	0
