VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14013	FACILITY	jedan	Fabrique d'armes	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1	0
14014	FACILITY	jedan	Fabrique d'armures	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1	0
14015	FACILITY	jedan	Joaillier	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1	0
14033	FACILITY	suryeonjang	Centre entraînement	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2	0
14043	FACILITY	yonggwangro	Fonderie de diamant	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1	0
14045	FACILITY	yonggwangro	Four à bois fossile	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1	0
14046	FACILITY	yonggwangro	Fonderie de cuivre	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1	0
14047	FACILITY	yonggwangro	Fonderie d'argent	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1	0
14048	FACILITY	yonggwangro	Fonderie d'or	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1	0
14049	FACILITY	yonggwangro	Fonderie de jade	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1	0
14050	FACILITY	yonggwangro	Fonderie d'ébène	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1	0
14051	FACILITY	yonggwangro	Fonderie de perle	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1	0
14052	FACILITY	yonggwangro	Fonderie d'or blanc	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1	0
14053	FACILITY	yonggwangro	Fonderie de cristal	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1	0
14054	FACILITY	yonggwangro	Fonderie de quartz	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1	0
14055	FACILITY	yonggwangro	F. de larme céleste	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1	0
14061	FACILITY	himuijedan_01	Autel du pouvoir	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1	0
14062	FACILITY	himuijedan_02	Autel du pouvoir	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2	0
14063	FACILITY	himuijedan_03	Autel du pouvoir	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2	0
14071	FACILITY	guildbank_01	Entrepôt de guilde	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1	0
14072	FACILITY	guildbank_02	Entrepôt de guilde	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2	0
14073	FACILITY	guildbank_03	Entrepôt de guilde	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	60002	6	6	2	0
14074	FACILITY	yonggwangro	F. de cristal d'âme	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20423	3	1	1	0
14075	FACILITY	yonggwangro	Fonderie de rubis	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20424	3	1	1	0
14076	FACILITY	yonggwangro	Fonderie de grenat	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20425	3	1	1	0
14077	FACILITY	yonggwangro	Fonderie d'émeraude	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20426	3	1	1	0
14078	FACILITY	yonggwangro	Fonderie de saphir	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20427	3	1	1	0
14079	FACILITY	yonggwangro	F. de tourmaline	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20428	3	1	1	0
14080	FACILITY	yonggwangro	Four de jadéite nacrée	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20660	3	1	1	1
14081	FACILITY	yonggwangro	Four de jadéite solaire	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20661	3	1	1	1
14082	FACILITY	yonggwangro	Four de jadéite nocturne	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20662	3	1	1	1
14083	FACILITY	yonggwangro	Four de jadéite nuageuse	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20663	3	1	1	1
14084	FACILITY	jedan	Four de cuir	-525	-525	-525	525	0	0	360	1000000000	0	20835	2	1	1	1
14085	FACILITY	jedan	Forgeron du cuir	-525	-525	525	525	0	0	360	1000000000	90015,40/90016,60/90017,40/31225,1	20828	2	1	1	1
14100	HEADQUARTER	a1-011-workhouse	Habitation (1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14101	OBJECT	a1-038-wall-corner	Mur de pierre (1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14102	OBJECT	a1-038-wall-lin	Mur de pierre (1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14103	OBJECT	a1-038-wall-lin2	Mur de pierre (1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14104	OBJECT	a1-038-wall-door	Porte (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14105	BUILDIN	a1-set	Mur (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14110	HEADQUARTER	b1-011-workhouse	Habitation (2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14111	OBJECT	b1-038-wall-corner	Mur de pierre (2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14112	OBJECT	b1-038-wall-lin	Mur de pierre (2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14113	OBJECT	b1-038-wall-lin2	Mur de pierre (2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14114	OBJECT	b1-038-wall-door	Porte (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14115	BUILDIN	b1-set	Mur (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14120	HEADQUARTER	c1-011-workhouse	Habitation (3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14121	OBJECT	c1-038-wall-corner	Mur de pierre (3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14122	OBJECT	c1-038-wall-lin	Mur de pierre (3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14123	OBJECT	c1-038-wall-lin2	Mur de pierre (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14124	OBJECT	c1-038-wall-door	Porte (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14125	BUILDIN	c1-set	Mur (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14200	OBJECT	guild_symbol	Insigne de guilde	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1	0
14201	WALL	fence01_door01	Devant du mur	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1	0
14202	WALL	fence01_back01	Arrière du mur	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1	0
14203	WALL	fence01_left01	Côté gauche du mur	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14204	WALL	fence01_right01	Côté droit du mur	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14300	OBJECT	general_obj_stone01	Pierre (1)	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1	0
14301	OBJECT	general_obj_stone02	Pierre (2)	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1	0
14302	OBJECT	general_obj_stone03	Pierre (3)	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1	0
14303	OBJECT	general_obj_stone04	Pierre (4)	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1	0
14304	OBJECT	general_obj_stone05	Pierre (5)	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1	0
14305	OBJECT	general_obj_stone06	Pierre (6)	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1	0
14306	OBJECT	general_obj_stone07	Pierre (7)	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1	0
14307	OBJECT	general_obj_stone08	Pierre (8)	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1	0
14308	OBJECT	general_obj_stone09	Pierre (9)	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1	0
14309	OBJECT	general_obj_stone10	Pierre (10)	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1	0
14400	OBJECT	B1_PagodaTree_RT	Arbre (1)					0	0	360	2000000	90011,5	0	0	0	1	0
14401	OBJECT	B1_PagodaTree_RT3	Arbre (2)					0	0	360	2000000	90011,5	0	0	0	1	0
14402	OBJECT	B1_Sassafras_RT_Fall	Arbre (3)					0	0	360	2000000	90011,7	0	0	0	1	0
14403	OBJECT	B1_Sassafras_RT_Fall2	Arbre (4)					0	0	360	2000000	90011,7	0	0	0	1	0
14404	OBJECT	B3_ShingleOak_RT2	Arbre (5)					0	0	360	2000000	90011,7	0	0	0	1	0
14405	OBJECT	B2_IvySpy_RT	Arbre (6)					0	0	360	2000000	90011,9	0	0	0	1	0
14406	OBJECT	B2_IvySpy_RT4	Arbre (7)					0	0	360	2000000	90011,9	0	0	0	1	0
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Arbre (8)					0	0	360	2000000	90011,9	0	0	0	1	0
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Arbre (9)					0	0	360	2000000	90011,9	0	0	0	1	0
20139	OBJECT	flag_a	Bannière de guilde (mauve)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20140	OBJECT	flag_b	Bannière de guilde (bleu/vert)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20141	OBJECT	flag_c	Bannière de guilde (rouge/or)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
