ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
ACCE_ALREADY_REGISTER	Αυτό το αντικείμενο έχει ήδη χρησιμοποιηθεί.
ACCE_DEL_ABSORDITEM	Απορρόφηση αντικειμένου και καταστροφή του;
ACCE_DEL_SERVEITEM	Η Κορδέλα 2 θα καταστραφεί αν αποτύχει ο συνδυασμός.
ACCE_DEL_SERVEITEM2	Η Κορδέλα 2 θα καταστραφεί αν αποτύχει ο συνδυασμός.
ACCE_INITEM	Τράβα τα αντικείμενα στο παράθυρο.
ACCE_MAXGRADE	Αυτό είναι ήδη ραμμένο στα μέτρα σου.
ACCE_MAX_DRAINRATE	Μέγιστη πιθανότητα απορρόφησης
ACCE_NOTABSORBITEM	Δεν μπορείς να χρησιμοποιήσεις όπλο/πανοπλία που έχει ήδη απορροφηθεί.
ACCE_NOT_SEALITEM	Δεν μπορείς να χρησιμοποιήσεις ένα ψυχικά δεμένο αντικείμενο.
ACCE_NOT_USINGITEM	Ένα εξοπλισμένο αντικείμενο δεν μπορεί να συνδυαστεί.
ACCE_NOT_WINDOWOPEN	Δεν μπορείς να χρησιμοποιήσεις το αντικείμενο όσο είναι ανοιχτό το παράθυρο συνδυασμού.
ACCE_POSSIBLE_ACCE	Μπορείς να χρησιμοποιήσεις μόνο κορδέλες ώμων.
ACCE_POSSIBLE_ACCEITEM	Μπορείς να εξάγεις μπόνους μόνο από όπλα και πανοπλίες.
AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
ALIGNMENT_NAME	Πόντοι κατάταξης:
alsoExportToCharset	windows-1253
ATTACK_ERROR_UNKNOWN	’γνωστο Λάθος Επίθεσης: %s
ATTENDANCE_REWARD_QUESTION	Θέλεις να παραλάβεις την ανταμοιβή σου;
ATTR_6TH_7TH_ADD_QUESTION1	Δεν μπορείς να χρησιμοποιήσεις αυτό το αντικείμενο όσο γίνεται προσθήκη μπόνους.
ATTR_6TH_7TH_ADD_QUESTION2	Θέλεις να στ' αλήθεια να προσθέσεις το μπόνους;
ATTR_6TH_7TH_CHANGE_FAIL	Δεν μπορείς να αλλάξεις το μπόνους.
ATTR_6TH_7TH_DESC1	α. Πρέπει να προσθέσεις τα υλικά που απαιτούνται για την προσθήκη του 6ου κι 7ου μπόνους στο αντικείμενο.
ATTR_6TH_7TH_DESC2	β. Κάθε θραύσμα αυξάνει την πιθανότητα επιτυχίας κατά 2%.
ATTR_6TH_7TH_DESC3	γ. Χρησιμοποίησε μια συμπλήρωση για να αυξήσεις κι άλλο την πιθανότητα επιτυχίας.
ATTR_6TH_7TH_DESC4	δ. Η προσθήκη μπόνους απαιτεί 24 ώρες. Ο NPC κρατάει το αντικείμενο στο οποίο θα προστεθεί το μπόνους. Μόλις ολοκληρωθεί η διαδικασία, μπορείς να το παραλάβεις.
ATTR_6TH_7TH_POSSIBILITY	Μπορείς να προσθέσεις ένα επιπλέον μπόνους.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Πιθανότητα επιτυχίας: %.1f%%
AURA_DRAIN_PER	Πιθανότητα απορρόφησης %.1f%%
AURA_EVOLUTION_GOLD	[Αύρα] Δεν υπάρχει αρκετό Yang για εξέλιξη.
AURA_IMPOSSIBLE_ABSORBITEM	[Αύρα] Δεν μπορούν να μεταφερθούν άλλα μπόνους.
AURA_IMPOSSIBLE_EQUIPITEM	[Αύρα] Τα εξοπλισμένα αντικείμενα δεν μπορούν να μεταφέρονται.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Αύρα] Δεν μπορεί να εξελιχθεί.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Αύρα] Τα αντικείμενα δεν είναι αρκετά για να γίνει εξέλιξη.
AURA_IMPOSSIBLE_GROWTHITEM	[Αύρα] Δεν μπορεί να βελτιωθεί.
AURA_IMPOSSIBLE_REFINEITEM	[Αύρα] Μόνο Ρούχα αύρας, Ασπίδα, Περιδέραιο, Σκουλαρίκια και Περικάρπιο.
AURA_IMPOSSIBLE_SEALITEM	[Αύρα] Τα ψυχικά δεμένα αντικείμενα δεν μπορούν να μεταφέρονται.
AURA_ITEM_NEED_REGISTER	[Αύρα] Πρέπει να προστεθούν αντικείμενα.
AURA_LEVEL_STEP	Επ. %d (βαθμίδα %d)
AURA_MAX_LEVEL	[Αύρα] Τα ρούχα αύρας βρίσκονται στο μέγιστο επίπεδο.
AURA_NOTICE_DEL_ABSORDITEM	[Αύρα] Το μεταφερμένο αντικείμενο θα καταστραφεί.
AURA_OPEN_OTHER_WINDOW	Δεν μπορείς να το κάνεις αυτό όσο είναι ανοιχτό το παράθυρο βελτίωσης, εξέλιξης ή μεταφοράς αξιών.
AURA_POSSIBLE_AURAITEM	[Αύρα] Μόνο Ρούχα αύρας.
AURA_POSSIBLE_REGISTER_AURAITEM	[Αύρα] Πρέπει να προστεθούν πρώτα Ρούχα αύρας.
AURA_TITLE_ABSORB	Μεταφορά αξιών σε Ρούχα αύρας.
AURA_TITLE_EVOLUTION	Εξέλιξη Ρούχων αύρας
AURA_TITLE_GROWTH	Βελτίωση Ρούχων αύρας
AURA_TOOLTIP_EXP	ΕΜΠ (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Επ. %d (βαθμίδα %d) (Πιθανότητα απορρόφησης %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Νέο
AURA_TOOLTIP_NOW	Τώρα
AURA_TOOLTIP_RESOURCE	Καταναλωτικό αγαθό
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Μηδενισμός
AUTO_TOOLTIP_LINE1	Ικανότητες: Επίλεξε ικανότητες για τη μάχη και τράβα τις στις θέσεις. (Προνομιούχο)
