ACCE_ABSORB_COST	Kombinálás ára: %d
ACCE_ALREADY_REGISTER	Ez a tárgy már felhasználásra került.
ACCE_DEL_ABSORDITEM	Tárgy abszorbeálása és annak megsemmisítése?
ACCE_DEL_SERVEITEM	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_DEL_SERVEITEM2	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_INITEM	Húzd a tárgyakat az ablakba.
ACCE_MAXGRADE	Ez már egyedivé lett téve.
ACCE_MAX_DRAINRATE	Max. abszorpciós mérték
ACCE_NOTABSORBITEM	Nem tudod használni azt a fegyvert vagy páncéldarabot, ami már abszorbeálva lett.
ACCE_NOT_SEALITEM	Nem használhatsz lélekhez kötött tárgyakat.
ACCE_NOT_USINGITEM	Nem kombinálhatsz felszerelt tárgyat.
ACCE_NOT_WINDOWOPEN	Nem használhatod a tárgyat, ha a kombinációs ablak meg van nyitva.
ACCE_POSSIBLE_ACCE	Csak Vállpántokat használhatsz.
ACCE_POSSIBLE_ACCEITEM	Csak fegyverekbõl és páncélokból vonhatsz ki bónuszokat.
AFF_LOVE_POINT	Szerelmi pont: %d%%
ALIGNMENT_NAME	Rang pontok:
alsoExportToCharset	windows-1250
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadás Hiba: %s
ATTENDANCE_REWARD_QUESTION	Be szeretnéd gyûjteni a jutalmad?
ATTR_6TH_7TH_ADD_QUESTION1	Nem használhatod ezt a tárgyat bónusz hozzáadása közben.
ATTR_6TH_7TH_ADD_QUESTION2	Biztosan szeretnéd hozzáadni a bónuszt?
ATTR_6TH_7TH_CHANGE_FAIL	Nem változtathatod meg a bónuszt.
ATTR_6TH_7TH_DESC1	a. 6. és 7. bónusz hozzáadásához be kell raknod a tárgyhoz szükséges anyagokat.
ATTR_6TH_7TH_DESC2	b. Minden erõszilánk 2%-kal növeli a siker esélyét.
ATTR_6TH_7TH_DESC3	c. Erõsítõ használatával még tovább növelheted a siker esélyét.
ATTR_6TH_7TH_DESC4	d. 24 óráig tart egy bónusz hozzáadása. Ez idõ alatt az NPC-nél lesz a tárgy, amihez a bónuszt szeretnéd hozzáadni. Amint befejezõdött a folyamat, vissza tudod venni.
ATTR_6TH_7TH_POSSIBILITY	Hozzáadható egy további bónusz.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Siker esélye: %.1f%%
AURA_DRAIN_PER	Abszorpció mértéke %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Nincs elég Yang a feljavításhoz.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Az átvitt tárgy nem használható.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] A felszerelt tárgyak nem vihetõk át.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nem lehetséges a feljavítás.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] A jelenlegi tárgyak mennyisége nem elegendõ a feljavításhoz.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nem lehetséges a fejlesztés.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Csak Aura öltözék, pajzs, nyaklánc, fülbevaló és karkötõ használható.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Lélekhez kötött tárgyak nem vihetõk át.
AURA_ITEM_NEED_REGISTER	[Aura] Be kell helyezned a tárgyakat.
AURA_LEVEL_STEP	Szint %d (Alszint %d)
AURA_MAX_LEVEL	[Aura] Az Aura öltözék elérte a maximális szintet.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Az átvitt tárgy meg fog semmisülni.
AURA_OPEN_OTHER_WINDOW	Ezt nem tudod megtenni, amíg a fejlesztéssel, feljavítással vagy érték átvitellel kapcsolatos ablak nyitva van.
AURA_POSSIBLE_AURAITEM	[Aura] Csak Aura öltözék használható.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Elõször az Aura öltözéket kell beillesztened.
AURA_TITLE_ABSORB	Értékek átvitele az Aura öltözékbe
AURA_TITLE_EVOLUTION	Aura öltözék feljavítása
AURA_TITLE_GROWTH	Aura öltözék fejlesztése
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
