VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14013	FACILITY	jedan	Fabryka Broni	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1	0
14014	FACILITY	jedan	Kowal Zbroi	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1	0
14015	FACILITY	jedan	Jubiler	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1	0
14033	FACILITY	suryeonjang	Oœrodek Szkoleniowy	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2	0
14043	FACILITY	yonggwangro	Diamentowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1	0
14045	FACILITY	yonggwangro	Sk. Drewno Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1	0
14046	FACILITY	yonggwangro	Miedziany Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1	0
14047	FACILITY	yonggwangro	Srebrny Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1	0
14048	FACILITY	yonggwangro	Z³oty Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1	0
14049	FACILITY	yonggwangro	Jadeitowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1	0
14050	FACILITY	yonggwangro	Ebonitowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1	0
14051	FACILITY	yonggwangro	Per³owy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1	0
14052	FACILITY	yonggwangro	Platynowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1	0
14053	FACILITY	yonggwangro	Kryszta³owy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1	0
14054	FACILITY	yonggwangro	Ametystowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1	0
14055	FACILITY	yonggwangro	Niebiañski Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1	0
14061	FACILITY	himuijedan_01	O³tarz Mocy	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1	0
14062	FACILITY	himuijedan_02	O³tarz Mocy	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2	0
14063	FACILITY	himuijedan_03	O³tarz Mocy	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2	0
14071	FACILITY	guildbank_01	Magazyn Gildii	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1	0
14072	FACILITY	guildbank_02	Magazyn Gildii	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2	0
14073	FACILITY	guildbank_03	Magazyn Gildii	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	60002	6	6	2	0
14074	FACILITY	yonggwangro	Odlewnik Kry. Duszy	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20423	3	1	1	0
14075	FACILITY	yonggwangro	Rubinowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20424	3	1	1	0
14076	FACILITY	yonggwangro	Odlewnik Granatu	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20425	3	1	1	0
14077	FACILITY	yonggwangro	Szmaragdowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20426	3	1	1	0
14078	FACILITY	yonggwangro	Szafirowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20427	3	1	1	0
14079	FACILITY	yonggwangro	Turmalinowy Odlewnik	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20428	3	1	1	0
14080	FACILITY	yonggwangro	Piec Jadeitu Mg³y	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20660	3	1	1	1
14081	FACILITY	yonggwangro	Piec Jadeit S³oñca	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20661	3	1	1	1
14082	FACILITY	yonggwangro	Piec Jadeit Nocy	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20662	3	1	1	1
14083	FACILITY	yonggwangro	Piec Jadeit Dymu	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20663	3	1	1	1
14084	FACILITY	jedan	Piec Skór	-525	-525	-525	525	0	0	360	1000000000	0	20835	2	1	1	1
14085	FACILITY	jedan	Kowal Skóry	-525	-525	525	525	0	0	360	1000000000	90015,40/90016,60/90017,40/31225,1	20828	2	1	1	1
14100	HEADQUARTER	a1-011-workhouse	Kwatera G³ówna (1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14101	OBJECT	a1-038-wall-corner	Kamienny Mur (1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14102	OBJECT	a1-038-wall-lin	Kamienny Mur (1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14103	OBJECT	a1-038-wall-lin2	Kamienny Mur (1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14104	OBJECT	a1-038-wall-door	Brama (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14105	BUILDIN	a1-set	Œciana (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14110	HEADQUARTER	b1-011-workhouse	Kwatera G³ówna (2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14111	OBJECT	b1-038-wall-corner	Kamienny Mur (2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14112	OBJECT	b1-038-wall-lin	Kamienny Mur (2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14113	OBJECT	b1-038-wall-lin2	Kamienny Mur (2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14114	OBJECT	b1-038-wall-door	Brama (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14115	BUILDIN	b1-set	Œciana (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14120	HEADQUARTER	c1-011-workhouse	Kwatera G³ówna (3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14121	OBJECT	c1-038-wall-corner	Kamienny Mur (3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14122	OBJECT	c1-038-wall-lin	Kamienny Mur (3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14123	OBJECT	c1-038-wall-lin2	Kamienny Mur (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14124	OBJECT	c1-038-wall-door	Brama (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14125	BUILDIN	c1-set	Œciana (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14200	OBJECT	guild_symbol	Insygnia Gildii	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1	0
14201	WALL	fence01_door01	Œciana Frontowa	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1	0
14202	WALL	fence01_back01	Œciana Tylna	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1	0
14203	WALL	fence01_left01	Œciana Lewa	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14204	WALL	fence01_right01	Œciana Prawa	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14300	OBJECT	general_obj_stone01	Kamieñ (1)	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1	0
14301	OBJECT	general_obj_stone02	Kamieñ (2)	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1	0
14302	OBJECT	general_obj_stone03	Kamieñ (3)	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1	0
14303	OBJECT	general_obj_stone04	Kamieñ (4)	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1	0
14304	OBJECT	general_obj_stone05	Kamieñ (5)	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1	0
14305	OBJECT	general_obj_stone06	Kamieñ (6)	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1	0
14306	OBJECT	general_obj_stone07	Kamieñ (7)	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1	0
14307	OBJECT	general_obj_stone08	Kamieñ (8)	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1	0
14308	OBJECT	general_obj_stone09	Kamieñ (9)	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1	0
14309	OBJECT	general_obj_stone10	Kamieñ (10)	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1	0
14400	OBJECT	B1_PagodaTree_RT	Drzewo (1)					0	0	360	2000000	90011,5	0	0	0	1	0
14401	OBJECT	B1_PagodaTree_RT3	Drzewo (2)					0	0	360	2000000	90011,5	0	0	0	1	0
14402	OBJECT	B1_Sassafras_RT_Fall	Drzewo (3)					0	0	360	2000000	90011,7	0	0	0	1	0
14403	OBJECT	B1_Sassafras_RT_Fall2	Drzewo (4)					0	0	360	2000000	90011,7	0	0	0	1	0
14404	OBJECT	B3_ShingleOak_RT2	Drzewo (5)					0	0	360	2000000	90011,7	0	0	0	1	0
14405	OBJECT	B2_IvySpy_RT	Drzewo (6)					0	0	360	2000000	90011,9	0	0	0	1	0
14406	OBJECT	B2_IvySpy_RT4	Drzewo (7)					0	0	360	2000000	90011,9	0	0	0	1	0
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Drzewo (8)					0	0	360	2000000	90011,9	0	0	0	1	0
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Drzewo (9)					0	0	360	2000000	90011,9	0	0	0	1	0
20139	OBJECT	flag_a	Sztandar gildii (fioletowy)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20140	OBJECT	flag_b	Sztandar gildii (niebieski/zielony)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
